"","participant_private_id","condition","mean"
"1",1252148,"normal",565.340425531914
"2",1252148,"SF",586.844680851063
"3",1252228,"normal",3087.94680851064
"4",1252228,"SF",2659.20425531915
"5",1252242,"normal",951.549893601778
"6",1252242,"SF",924.455638291275
"7",1252359,"normal",1431.4414893495
"8",1252359,"SF",1215.27712765903
"9",1252384,"normal",1503.21436170201
"10",1252384,"SF",1594.78478723433
"11",1252407,"normal",4676.14893617021
"12",1252407,"SF",3633.91489361702
"13",1252410,"normal",3255.10319148468
"14",1252410,"SF",3028.71617021168
"15",1252442,"normal",1186.06244680876
"16",1252442,"SF",1243.9159574469
"17",1252533,"normal",1598.72234042552
"18",1252533,"SF",1674.5254255319
"19",1252589,"normal",645.730851074443
"20",1252589,"SF",626.797553216246
"21",1252603,"normal",2075.8085106383
"22",1252603,"SF",2244.55319148936
"23",1252610,"normal",1274.21819149056
"24",1252610,"SF",1288.26574468366
"25",1252647,"normal",801.165531914523
"26",1252647,"SF",811.74372341682
"27",1253064,"normal",1195.29787234043
"28",1253064,"SF",929.31914893617
"29",1253152,"normal",569.980212759742
"30",1253152,"SF",727.90074468085
"31",1253156,"normal",1559.38776596226
"32",1253156,"SF",1646.23159574384
"33",1253160,"normal",828.917021276558
"34",1253160,"SF",859.615425531957
"35",1253161,"normal",359.95170212861
"36",1253161,"SF",400.327765957472
"37",1253170,"normal",585.338404255998
"38",1253170,"SF",815.466170204169
"39",1253181,"normal",1217.49712766007
"40",1253181,"SF",1502.7382978736
"41",1253214,"normal",4573.57531914269
"42",1253214,"SF",4231.11659575729
"43",1253217,"normal",349.482127657888
"44",1253217,"SF",360.918510641452
"45",1253271,"normal",625.938723438439
"46",1253271,"SF",663.548617024331
"47",1253307,"normal",986.69351063956
"48",1253307,"SF",635.997127663552
"49",1253702,"normal",990.592340427263
"50",1253702,"SF",1095.20957446806
"51",1253759,"normal",1154.88308510481
"52",1253759,"SF",1321.04819148786
"53",1267627,"normal",2377.037021277
"54",1267627,"SF",1663.57946807538
"55",1267858,"normal",630.30053192175
"56",1267858,"SF",829.261489366082
"57",1267875,"normal",920.230212767529
"58",1267875,"SF",769.196489361422
"59",1268013,"normal",763.030319147684
"60",1268013,"SF",765.817127659288
"61",1268120,"normal",493.452765955652
"62",1268120,"SF",498.939468084768
"63",1268263,"normal",599.5560638296
"64",1268263,"SF",808.405851063807
"65",1268299,"normal",2373.39893617528
"66",1268299,"SF",1940.69446807113
"67",1268305,"normal",1454.55563829796
"68",1268305,"SF",1713.06074467956
"69",1268314,"normal",929.792872341498
"70",1268314,"SF",817.611063829935
"71",1268466,"normal",1705.38765956905
"72",1268466,"SF",2175.93659579437
"73",1268490,"normal",1063.8085106383
"74",1268490,"SF",790.744680851062
"75",1268492,"normal",1707.72595744595
"76",1268492,"SF",1334.67244680914
"77",1268519,"normal",1043.22808511565
"78",1268519,"SF",1078.59276595743
"79",1268563,"normal",882.234042553194
"80",1268563,"SF",605.340425531917
"81",1268564,"normal",1417.0132978532
"82",1268564,"SF",2215.26882979286
"83",1268615,"normal",1250.44446806622
"84",1268615,"SF",1361.51202129537
"85",1268646,"normal",1811.11276595745
"86",1268646,"SF",2022.94255319149
"87",1271656,"normal",4963.0559574456
"88",1271656,"SF",4555.14436170206
"89",1272117,"normal",2579.67287233778
"90",1272117,"SF",2272.47638297713
"91",1272434,"normal",1506.70212765957
"92",1272434,"SF",1926.4255319149
"93",1272530,"normal",435.063191489389
"94",1272530,"SF",555.645957446803
"95",1272681,"normal",1746.31085106979
"96",1272681,"SF",1572.64712764981
"97",1272682,"normal",1769.53191489361
"98",1272682,"SF",1627.59574468085
"99",1272725,"normal",622.851063829788
"100",1272725,"SF",855.617021276595
"101",1272843,"normal",447.382978723404
"102",1272843,"SF",442.872340425532
"103",1272924,"normal",1344.56095744687
"104",1272924,"SF",1598.26680850962
"105",1272995,"normal",2614.94021279678
"106",1272995,"SF",2678.08478725381
"107",1273010,"normal",1831.22617021163
"108",1273010,"SF",1781.42244680141
"109",1273044,"normal",413.106382978723
"110",1273044,"SF",436.170212765958
"111",1273339,"normal",4133.79170213073
"112",1273339,"SF",3395.62297872072
"113",1273360,"normal",870.748723404138
"114",1273360,"SF",1024.90851063835
"115",1275206,"normal",1272.90851063779
"116",1275206,"SF",2185.85957446819
"117",1276104,"normal",2395.20031914822
"118",1276104,"SF",2340.75691489326
"119",1276298,"normal",1608.3731914894
"120",1276298,"SF",1500.04691489293
